行號,項目,類別,"日校考生應考最少五科
甲類學科／乙類學科 - 男生","日校考生應考最少五科
甲類學科／乙類學科 - 女生","日校考生應考最少五科
甲類學科／乙類學科 - 總數","全體考生應考最少五科
甲類學科／乙類學科 - 男生","全體考生應考最少五科
甲類學科／乙類學科 - 女生","全體考生應考最少五科
甲類學科／乙類學科 - 總數",,,,,,,
1,考生人數,數字,24881,24815,49696,26366,25785,52151,,,,,,,
2,總積點 10 – 12,數字,48,68,116,51,73,124,,,,,,,
3,總積點 10 – 12,百分比,0.2%,0.3%,0.2%,0.2%,0.3%,0.2%,,,,,,,
4,總積點 13 – 15,數字,577,1039,1616,621,1080,1701,,,,,,,
5,總積點 13 – 15,百分比,2.3%,4.2%,3.3%,2.4%,4.2%,3.3%,,,,,,,
6,總積點 16 – 18,數字,1894,3166,5060,1991,3253,5244,,,,,,,
7,總積點 16 – 18,百分比,7.6%,12.8%,10.2%,7.6%,12.6%,10.1%,,,,,,,
8,總積點 19 – 21,數字,2396,3625,6021,2499,3680,6179,,,,,,,
9,總積點 19 – 21,百分比,9.6%,14.6%,12.1%,9.5%,14.3%,11.8%,,,,,,,
10,總積點 22 – 24,數字,1622,2283,3905,1683,2323,4006,,,,,,,
11,總積點 22 – 24,百分比,6.5%,9.2%,7.9%,6.4%,9.0%,7.7%,,,,,,,
12,總積點 25 – 27,數字,1013,1237,2250,1039,1253,2292,,,,,,,
13,總積點 25 – 27,百分比,4.1%,5.0%,4.5%,3.9%,4.9%,4.4%,,,,,,,
14,總積點 28 – 30,數字,526,632,1158,537,639,1176,,,,,,,
15,總積點 28 – 30,百分比,2.1%,2.5%,2.3%,2.0%,2.5%,2.3%,,,,,,,
16,總積點 31 – 33,數字,319,312,631,327,314,641,,,,,,,
17,總積點 31 – 33,百分比,1.3%,1.3%,1.3%,1.2%,1.2%,1.2%,,,,,,,
18,總積點 34 – 35,數字,113,73,186,114,73,187,,,,,,,
19,總積點 34 – 35,百分比,0.5%,0.3%,0.4%,0.4%,0.3%,0.4%,,,,,,,
