行號,項目,類別,"日校考生應考最少五科
甲類學科／乙類學科 - 男生","日校考生應考最少五科
甲類學科／乙類學科 - 女生","日校考生應考最少五科
甲類學科／乙類學科s - 總數","全體考生應考最少五科
甲類學科／乙類學科 - 男生","全體考生應考最少五科
甲類學科／乙類學科 - 女生","全體考生應考最少五科
甲類學科／乙類學科 - 總數",,
1,考生人數,數字,24881,24815,49696,26366,25785,52151,,
2,五科取得5** 級,數字,51,37,88,52,37,89,,
3,五科取得5** 級,百分比,0.2%,0.1%,0.2%,0.2%,0.1%,0.2%,,
4,五科取得5* 級或以上,數字,362,360,722,368,361,729,,
5,五科取得5* 級或以上,百分比,1.5%,1.5%,1.5%,1.4%,1.4%,1.4%,,
6,五科取得5 級或以上,數字,1133,1356,2489,1149,1372,2521,,
7,五科取得5 級或以上,百分比,4.6%,5.5%,5.0%,4.4%,5.3%,4.8%,,
8,五科取得4 級或以上,數字,4394,6065,10459,4533,6143,10676,,
9,五科取得4 級或以上,百分比,17.7%,24.4%,21.0%,17.2%,23.8%,20.5%,,
10,五科取得3 級或以上,數字,10019,12916,22935,10448,13177,23625,,
11,五科取得3 級或以上,百分比,40.3%,52.0%,46.2%,39.6%,51.1%,45.3%,,
12,五科取得2 級或以上,數字,17447,19844,37291,18386,20401,38787,,
13,五科取得2 級或以上,百分比,70.1%,80.0%,75.0%,69.7%,79.1%,74.4%,,
14,五科取得1 級或以上,數字,21831,23079,44910,23087,23848,46935,,
15,五科取得1 級或以上,百分比,87.7%,93.0%,90.4%,87.6%,92.5%,90.0%,,
16,四科取得1 級或以上,數字,23399,23996,47395,24752,24844,49596,,
17,四科取得1 級或以上,百分比,94.0%,96.7%,95.4%,93.9%,96.4%,95.1%,,
18,三科取得1 級或以上,數字,24166,24458,48624,25557,25369,50926,,
19,三科取得1 級或以上,百分比,97.1%,98.6%,97.8%,96.9%,98.4%,97.7%,,
20,兩科取得1 級或以上,數字,24534,24686,49220,25958,25623,51581,,
21,兩科取得1 級或以上,百分比,98.6%,99.5%,99.0%,98.5%,99.4%,98.9%,,
22,一科取得1 級或以上,數字,24735,24757,49492,26188,25714,51902,,
23,一科取得1 級或以上,百分比,99.4%,99.8%,99.6%,99.3%,99.7%,99.5%,,
