行號,項目,類別,"全體考生應考最少五科
甲類學科／乙類學科 (任何五科#) - 男生","全體考生應考最少五科
甲類學科／乙類學科 (任何五科#) - 女生","全體考生應考最少五科
甲類學科／乙類學科 (任何五科#) - 總數","全體考生應考最少五科
甲類學科／乙類學科 (四個核心科目及一個選修科目) - 男生","全體考生應考最少五科
甲類學科／乙類學科 (四個核心科目及一個選修科目) - 女生","全體考生應考最少五科
甲類學科／乙類學科 (四個核心科目及一個選修科目) - 總數",,,,,,,
1,考生人數,人數,23940,23586,47526,23940,23586,47526,,,,,,,
2,總積點 12 – 14,人數,247,474,721,286,545,831,,,,,,,
3,總積點 12 – 14,百分比,1.0%,2.0%,1.5%,1.2%,2.3%,1.7%,,,,,,,
4,總積點 15 – 17,人數,1393,2351,3744,1645,2595,4240,,,,,,,
5,總積點 15 – 17,百分比,5.8%,10.0%,7.9%,6.9%,11.0%,8.9%,,,,,,,
6,總積點 18 – 20,人數,2431,3453,5884,2821,3728,6549,,,,,,,
7,總積點 18 – 20,百分比,10.2%,14.6%,12.4%,11.8%,15.8%,13.8%,,,,,,,
8,總積點 21 – 23,人數,1952,2650,4602,1941,2515,4456,,,,,,,
9,總積點 21 – 23,百分比,8.2%,11.2%,9.7%,8.1%,10.7%,9.4%,,,,,,,
10,總積點 24 – 26,人數,1142,1497,2639,1007,1415,2422,,,,,,,
11,總積點 24 – 26,百分比,4.8%,6.3%,5.6%,4.2%,6.0%,5.1%,,,,,,,
12,總積點 27 – 29,人數,691,839,1530,444,676,1120,,,,,,,
13,總積點 27 – 29,百分比,2.9%,3.6%,3.2%,1.9%,2.9%,2.4%,,,,,,,
14,總積點 30 – 32,人數,370,393,763,189,271,460,,,,,,,
15,總積點 30 – 32,百分比,1.5%,1.7%,1.6%,0.8%,1.1%,1.0%,,,,,,,
16,總積點 33 – 35,人數,166,154,320,59,66,125,,,,,,,
17,總積點 33 – 35,百分比,0.7%,0.7%,0.7%,0.2%,0.3%,0.3%,,,,,,,
