行號,項目,類別,"日校考生應考最少五科
甲類學科／乙類學科 - 男生","日校考生應考最少五科
甲類學科／乙類學科 - 女生","日校考生應考最少五科
甲類學科／乙類學科 - 總數","全體考生應考最少五科
甲類學科／乙類學科 - 男生","全體考生應考最少五科
甲類學科／乙類學科 - 女生","全體考生應考最少五科
甲類學科／乙類學科 - 總數",,
1,考生人數,人數,22692,22682,45374,23940,23586,47526,,
2,五科取得5** 級,人數,50,38,88,50,38,88,,
3,五科取得5** 級,百分比,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,,
4,五科取得5* 級或以上,人數,330,333,663,332,338,670,,
5,五科取得5* 級或以上,百分比,1.5%,1.5%,1.5%,1.4%,1.4%,1.4%,,
6,五科取得5 級或以上,人數,1077,1420,2497,1092,1441,2533,,
7,五科取得5 級或以上,百分比,4.7%,6.3%,5.5%,4.6%,6.1%,5.3%,,
8,五科取得4 級或以上,人數,4335,5852,10187,4449,5955,10404,,
9,五科取得4 級或以上,百分比,19.1%,25.8%,22.5%,18.6%,25.2%,21.9%,,
10,五科取得3 級或以上,人數,9611,11875,21486,9948,12141,22089,,
11,五科取得3 級或以上,百分比,42.4%,52.4%,47.4%,41.6%,51.5%,46.5%,,
12,五科取得2 級或以上,人數,16543,18430,34973,17281,18952,36233,,
13,五科取得2 級或以上,百分比,72.9%,81.3%,77.1%,72.2%,80.4%,76.2%,,
14,五科取得1 級或以上,人數,20241,21137,41378,21291,21846,43137,,
15,五科取得1 級或以上,百分比,89.2%,93.2%,91.2%,88.9%,92.6%,90.8%,,
16,四科取得1 級或以上,人數,21468,22007,43475,22595,22787,45382,,
17,四科取得1 級或以上,百分比,94.6%,97.0%,95.8%,94.4%,96.6%,95.5%,,
18,三科取得1 級或以上,人數,22041,22401,44442,23224,23236,46460,,
19,三科取得1 級或以上,百分比,97.1%,98.8%,97.9%,97.0%,98.5%,97.8%,,
20,兩科取得1 級或以上,人數,22397,22582,44979,23611,23442,47053,,
21,兩科取得1 級或以上,百分比,98.7%,99.6%,99.1%,98.6%,99.4%,99.0%,,
22,一科取得1 級或以上,人數,22576,22638,45214,23808,23515,47323,,
23,一科取得1 級或以上,百分比,99.5%,99.8%,99.6%,99.4%,99.7%,99.6%,,
