行號,項目,類別,"日校考生應考最少五科
甲類學科／乙類學科 (任何五科#) - 男生","日校考生應考最少五科
甲類學科／乙類學科 (任何五科#) - 女生","日校考生應考最少五科
甲類學科／乙類學科 (任何五科#) - 總數","日校考生應考最少五科
甲類學科／乙類學科 (四個核心科目及一個選修科目) - 男生","日校考生應考最少五科
甲類學科／乙類學科 (四個核心科目及一個選修科目) - 女生","日校考生應考最少五科
甲類學科／乙類學科 (四個核心科目及一個選修科目) - 總數",,,,,,,
1,考生人數,人數,22692,22682,45374,22692,22682,45374,,,,,,,
2,總積點 12 – 14,人數,233,456,689,271,525,796,,,,,,,
3,總積點 12 – 14,百分比,1.0%,2.0%,1.5%,1.2%,2.3%,1.8%,,,,,,,
4,總積點 15 – 17,人數,1343,2302,3645,1589,2542,4131,,,,,,,
5,總積點 15 – 17,百分比,5.9%,10.1%,8.0%,7.0%,11.2%,9.1%,,,,,,,
6,總積點 18 – 20,人數,2365,3384,5749,2741,3651,6392,,,,,,,
7,總積點 18 – 20,百分比,10.4%,14.9%,12.7%,12.1%,16.1%,14.1%,,,,,,,
8,總積點 21 – 23,人數,1896,2617,4513,1888,2486,4374,,,,,,,
9,總積點 21 – 23,百分比,8.4%,11.5%,9.9%,8.3%,11.0%,9.6%,,,,,,,
10,總積點 24 – 26,人數,1112,1465,2577,983,1388,2371,,,,,,,
11,總積點 24 – 26,百分比,4.9%,6.5%,5.7%,4.3%,6.1%,5.2%,,,,,,,
12,總積點 27 – 29,人數,680,821,1501,441,660,1101,,,,,,,
13,總積點 27 – 29,百分比,3.0%,3.6%,3.3%,1.9%,2.9%,2.4%,,,,,,,
14,總積點 30 – 32,人數,367,385,752,189,264,453,,,,,,,
15,總積點 30 – 32,百分比,1.6%,1.7%,1.7%,0.8%,1.2%,1.0%,,,,,,,
16,總積點 33 – 35,人數,165,151,316,59,65,124,,,,,,,
17,總積點 33 – 35,百分比,0.7%,0.7%,0.7%,0.3%,0.3%,0.3%,,,,,,,
