No.,Subject,Subject_2,Gender,Type,No. entered,No. of candidates fulfilling attendance requirement,Attained with Distinction,Attained or above,Unattained
1,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Male,Number,25,20,2,13,7
2,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Male,Percentage,,,10.0%,65.0%,35.0%
3,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Female,Number,29,28,11,27,1
4,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Female,Percentage,,,39.3%,96.4%,3.6%
5,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Total,Number,54,48,13,40,8
6,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Total,Percentage,,,27.1%,83.3%,16.7%
7,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Practical Context,Male,Number,10,10,3,10,0
8,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Practical Context,Male,Percentage,,,30.0%,100.0%,0.0%
9,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Practical Context,Female,Number,6,6,2,6,0
10,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Practical Context,Female,Percentage,,,33.3%,100.0%,0.0%
11,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Practical Context,Total,Number,16,16,5,16,0
12,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Practical Context,Total,Percentage,,,31.3%,100.0%,0.0%
13,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese,Male,Number,25,23,6,18,5
14,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese,Male,Percentage,,,26.1%,78.3%,21.7%
15,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese,Female,Number,28,27,6,23,4
16,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese,Female,Percentage,,,22.2%,85.2%,14.8%
17,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese,Total,Number,53,50,12,41,9
18,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese,Total,Percentage,,,24.0%,82.0%,18.0%
19,Applied Learning Chinese (for non-Chinese speaking students),,Male,Number,60,53,11,41,12
20,Applied Learning Chinese (for non-Chinese speaking students),,Male,Percentage,,,20.8%,77.4%,22.6%
21,Applied Learning Chinese (for non-Chinese speaking students),,Female,Number,63,61,19,56,5
22,Applied Learning Chinese (for non-Chinese speaking students),,Female,Percentage,,,31.1%,91.8%,8.2%
23,Applied Learning Chinese (for non-Chinese speaking students),,Total,Number,123,114,30,97,17
24,Applied Learning Chinese (for non-Chinese speaking students),,Total,Percentage,,,26.3%,85.1%,14.9%
